0,MLS1,Major League Soccer,United States
2,307900,Victor Muñoz,1990-07-25,Madrid,Spain,170,Spain,N/A,LM,515,-1,-1
2,174724,CJ Sapong,1988-12-27,Manassas Virginia,United States,185,United States,Ghana,CF,25467,-1,1580000
2,63403,Claudio Bieler,1984-03-01,Vera,Argentina,179,Argentina,Ecuador,CF,12709,-1,450000
2,13580,Jacob Peterson,1986-01-27,Portage Michigan,United States,178,United States,N/A,RW,515,-1,315000
2,161010,Jon Kempin,1993-04-08,Leawood Kansas,United States,185,United States,N/A,GK,813,-1,225000
2,3431,Jimmy Nielsen,1977-08-06,Aalborg,Denmark,190,Denmark,N/A,GK,123,-1,-1
2,105975,Matt Besler,1987-02-11,Overland Park Kansas,United States,183,United States,N/A,CB,4284,-1,900000
2,108353,Graham Zusi,1986-08-18,Longwood Florida,United States,178,United States,N/A,RB,4284,-1,630000
2,144959,Seth Sinovic,1987-01-28,Kansas City Missouri,United States,178,United States,Croatia,LB,4284,-1,540000
2,72613,Lawrence Olum,1984-07-10,Nairobi,Kenya,188,Kenya,N/A,CB,4291,-1,360000
2,177165,Kevin Ellis,1991-06-30,Kansas City Missouri,United States,175,United States,N/A,CB,4284,-1,248000
2,70858,Chance Myers,1987-12-07,Thousand Oaks California,United States,183,United States,N/A,RB,4291,-1,180000
2,39462,Josh Gardner,1982-09-14,Freeport Texas,United States,180,United States,N/A,LB,123,-1,-1
2,33118,Benny Feilhaber,1985-01-19,Rio de Janeiro,Brazil,175,United States,Austria,CM,51828,-1,675000
2,79434,Martin Steuble,1988-06-09,Schlieren,Switzerland,174,Philippines,Switzerland,AM,43556,-1,360000
2,260797,Christian Duke,1991-06-05,Overland Park Kansas,United States,175,United States,N/A,CM,31068,-1,270000
2,271199,Alex Martinez,1991-08-25,Montevideo,Uruguay,173,United States,Uruguay,CM,46717,-1,180000
2,39484,Paulo Nagamura,1983-03-02,São Paulo,Brazil,173,Brazil,Japan,CM,123,-1,-1
