0,L1-2018,Bundesliga,Germany
2,192635,Nico Elvedi,1996-09-30,Zürich,Switzerland,187,N/A,N/A,CB,18,30,31500000
2,47587,Tony Jantschke,1990-04-07,Hoyerswerda,DDR,177,N/A,N/A,CB,18,24,3150000
2,19305,Oscar Wendt,1985-10-24,Göteborg,Sweden,181,N/A,N/A,LB,18,17,1800000
2,340480,Mamadou Doucouré,1998-05-21,Dakar,Senegal,184,N/A,N/A,CB,18,29,450000
2,278332,Florian Neuhaus,1997-03-16,Landsberg am Lech,Germany,182,N/A,N/A,CM,18,32,21600000
2,82097,Christoph Kramer,1991-02-19,Solingen,Germany,191,N/A,N/A,DM,18,6,10800000
2,57845,Tobias Strobl,1990-05-12,München,Germany,188,N/A,N/A,DM,18,5,7200000
2,243188,Lászlo Bénes,1997-09-09,Dunajská Streda,Slovakia,181,N/A,N/A,CM,269,-1,900000
2,167329,Alassane Plea,1993-03-10,Lille,France,181,N/A,N/A,CF,18,14,34200000
2,32711,Patrick Herrmann,1991-02-12,Uchtelfangen,Germany,179,N/A,N/A,RW,18,7,4050000
2,31041,Fabian Johnson,1987-12-11,München,Germany,183,N/A,N/A,LW,18,19,3150000
2,140579,Josip Drmic,1992-08-08,Lachen,Switzerland,184,N/A,N/A,CF,18,18,2700000
2,401717,Julio Villalba,1998-09-17,Ciudad del Este,Paraguay,176,N/A,N/A,CF,18,20,675000
2,31653,Tobias Sippel,1988-03-22,Bad Dürkheim,Germany,180,N/A,N/A,GK,18,21,675000
2,124502,Matthias Ginter,1994-01-19,Freiburg,Germany,189,N/A,N/A,CB,18,28,31500000
2,51346,Michael Lang,1991-02-08,StGallen,Switzerland,185,N/A,N/A,RB,18,3,5400000
2,345746,Andreas Poulsen,1999-10-13,Ikast,Denmark,188,N/A,N/A,LB,18,40,3150000
2,403898,Jordan Beyer,2000-05-19,Kempen,Germany,187,N/A,N/A,RB,18,15,900000
2,331634,Florian Mayer,1998-03-04,Essen,Germany,191,N/A,N/A,CB,18,42,270000
2,334526,Denis Zakaria,1996-11-20,Genf,Switzerland,191,N/A,N/A,DM,18,8,15300000
2,7161,Jonas Hofmann,1992-07-14,Heidelberg,Germany,176,N/A,N/A,CM,18,23,10800000
2,344600,Michaël Cuisance,1999-08-16,Straßburg,France,181,N/A,N/A,CM,18,27,5850000
2,102226,Thorgan Hazard,1993-03-29,La Louvière,Belgium,174,N/A,N/A,LW,18,10,40500000
2,48298,Lars Stindl,1988-08-26,Speyer,Germany,180,N/A,N/A,SS,18,13,13500000
2,19819,Raffael,1985-03-28,Fortaleza,Brazil,174,N/A,N/A,SS,18,11,3600000
2,47285,Ibrahima Traoré,1988-04-21,Villepinte,France,172,N/A,N/A,RW,18,16,2700000
2,321096,Keanan Bennetts,1999-03-09,London,England,183,N/A,N/A,LW,18,37,2069999
